Date,ABEV3,B3SA3,BBDC4,BOVA11,BRML3,CIEL3,CMIG4,COGN3,CSNA3,EQTL3,GGBR4,IRBR3,ITSA4,ITUB4,MGLU3,PETR4,PRIO3,USIM5,VALE3,VVAR3
2016-09-02,17.268898,5.119772,14.868489,57.75,10.378605,21.691004,6.094347,12.843804,7.942569,9.336618,8.739033,,5.988825,18.118286,0.245134,12.179028,0.294,3.654012,14.641772,3.032832
2016-09-05,17.303715,5.096992,14.918741,57.68,10.330705,21.461643,6.12612,12.917778,7.950757,9.300429,8.895911,,5.968362,18.123209,0.245992,12.412377,0.286,3.711859,14.368844,2.983114
2016-09-06,17.408167,5.116925,15.074513,58.119999,10.49836,21.625473,6.183314,13.444845,7.754239,9.434328,8.868225,,6.01611,18.295916,0.246439,12.547002,0.28,3.760065,14.665854,2.983114
2016-09-08,17.408167,5.051433,15.275507,58.290001,10.194984,21.566492,6.087991,14.18459,7.574099,9.405375,9.015877,,5.934258,18.078802,0.245693,12.7624,0.29,3.895041,14.280545,2.983114
2016-09-09,17.190561,4.820786,14.431337,56.060001,9.899593,21.133987,5.636794,13.870199,7.082805,9.081491,8.55447,,5.661419,17.392956,0.245656,12.125177,0.282,3.711859,13.534005,2.933395
2016-09-12,17.190561,4.832177,14.481585,56.709999,9.947495,21.383007,5.649504,14.055135,7.19744,9.171962,8.748258,,5.709165,17.619925,0.244948,12.520076,0.2764,3.750424,14.039724,2.903564
2016-09-13,16.90333,4.66987,13.878599,55.169998,9.572268,20.937389,5.325404,13.731496,6.665206,9.001875,7.982327,,5.68188,17.269592,0.231153,11.67643,0.2696,3.461188,13.060396,2.90562
2016-09-14,17.112223,4.718278,13.994168,55.18,9.660088,21.363346,5.357179,13.537313,6.763465,8.956639,8.065377,,5.620492,17.284407,0.22955,11.766179,0.268,3.441905,13.357405,3.005127
2016-09-15,17.173155,4.883432,14.376062,56.040001,9.851693,21.579601,5.433436,13.888692,6.771654,9.119489,8.037695,,5.75009,17.659391,0.231376,12.125177,0.2708,3.422623,13.357405,2.736457
2016-09-16,16.912033,4.846415,14.114766,55.400002,9.731939,21.664793,5.319049,14.055135,6.55876,8.976543,7.742396,,5.68188,17.259737,0.233017,11.811054,0.284,3.297287,13.172778,2.766309
2016-09-19,16.929443,4.872042,14.190141,55.509998,9.795809,21.804216,5.395308,13.962668,6.959982,9.04711,7.77008,,5.695522,17.383083,0.239356,11.712329,0.2698,3.249082,13.37346,2.975275
2016-09-20,16.964258,4.854957,14.34591,55.900002,9.739923,22.088335,5.484276,13.962668,6.951794,9.291383,7.659341,,5.729627,17.422565,0.243829,12.116201,0.259,3.278005,13.405569,2.975275
2016-09-21,16.938143,4.894821,14.627302,56.650002,9.931529,21.553137,5.59231,14.101371,7.254758,9.36376,8.093064,,5.763733,17.590319,0.259898,12.259802,0.256,3.519035,14.168159,3.084733
2016-09-22,17.120928,4.917601,14.908696,57.16,10.091199,21.539923,5.776601,14.4435,7.28751,9.472324,8.028466,,5.852405,17.871571,0.262583,12.564952,0.28,3.48047,14.087888,2.935472
2016-09-23,17.173155,4.837871,14.938841,57.27,9.939511,21.374737,5.662213,13.740743,7.131935,9.46328,8.019238,,5.804659,17.827162,0.259526,12.286727,0.2714,3.441905,14.168159,2.786211
2016-09-26,17.077412,4.76099,14.75292,56.259998,9.859676,21.143484,5.643148,13.89794,7.099182,9.228054,8.010011,,5.73645,17.688999,0.265192,12.026454,0.27,3.403341,13.999589,2.786211
2016-09-27,17.147039,4.795158,15.059443,56.650002,9.859676,21.24259,5.643148,14.129108,7.050053,9.318525,7.96387,,5.8183,17.89131,0.277011,11.775153,0.2632,3.306929,14.128025,2.796161
2016-09-28,17.277605,4.837871,15.149884,57.599998,9.907578,21.546528,5.719408,14.295551,7.615041,9.454231,8.342222,,5.879689,18.019587,0.27962,12.430329,0.264,3.519035,14.601635,2.796161
2016-09-29,17.164452,4.732515,14.898641,56.459999,9.75589,21.407774,5.579599,13.925682,7.418523,9.246147,8.323767,,5.709165,17.56072,0.280143,12.053378,0.27,3.519035,14.441091,3.074782
2016-09-30,17.25149,4.786617,14.908696,56.560001,9.819758,21.480453,5.452502,13.676015,7.443087,9.105013,8.176115,,5.688702,17.526173,0.285214,12.179028,0.2698,3.403341,14.296596,3.074782
2016-10-03,17.190561,4.95462,15.262788,57.549999,10.059265,22.141186,5.59231,14.045888,7.786992,9.284145,8.305309,,5.791018,17.943298,0.290097,12.538026,0.2762,3.441905,14.52939,3.094684
2016-10-04,17.00778,4.911907,15.481813,57.470001,10.091199,22.121368,5.496986,14.129108,7.713298,9.267861,8.166888,,5.709165,18.101255,0.294534,12.582902,0.272,3.451546,14.168159,3.104635
2016-10-05,17.051298,4.966009,15.604849,58.189999,10.187001,21.942965,5.674923,14.471241,7.909817,9.309478,8.379136,,5.784197,18.456665,0.301804,13.085501,0.278,3.586523,14.336735,3.074782
2016-10-06,17.103525,4.983094,15.604849,58.869999,10.123133,21.672068,5.585955,14.674669,8.049016,9.329382,8.591382,,5.879689,18.609688,0.308515,13.552197,0.3038,3.519035,14.288571,3.17429
2016-10-07,17.103525,5.071364,15.825286,59.220001,10.33869,21.837246,5.636794,14.517475,8.147273,9.195481,8.923594,,5.947899,18.78245,0.316904,13.695796,0.3072,3.615447,14.449117,3.383256
2016-10-10,17.129637,5.102689,15.82016,59.75,10.322721,22.286552,5.630439,14.794878,8.351979,9.30586,8.997421,,6.036572,18.807131,0.337409,14.117619,0.3228,3.64437,15.291981,3.403157
2016-10-11,16.929443,4.980245,15.763773,59.02,10.202969,21.830645,5.496986,14.748644,8.351979,9.155675,8.766717,,5.975184,18.742968,0.336924,13.812472,0.3178,3.576882,14.930754,3.383256
2016-10-13,16.737951,5.00872,15.784275,59.290001,10.290787,21.916538,5.674923,14.378773,8.089956,9.472324,8.637523,,5.975184,18.955229,0.329953,14.144546,0.318,3.422623,14.248435,3.164339
2016-10-14,16.999077,5.040043,15.912435,59.900002,10.234902,21.143484,5.719408,14.591449,8.368356,9.468706,8.711348,,6.070676,19.315567,0.339199,14.593293,0.315,3.432265,14.465174,3.661877
2016-10-17,17.025187,5.068518,16.230276,60.779999,10.450459,21.084011,5.719408,14.702411,8.433861,9.604413,8.803628,,6.125244,19.740088,0.335545,15.167689,0.316,3.451546,14.641772,3.880794
2016-10-18,17.103525,5.07706,16.625011,61.849998,10.83367,21.625816,5.687633,15.331196,8.687695,9.55556,9.246579,,6.207098,20.014544,0.339273,15.634389,0.3232,3.519035,15.067219,3.582271
2016-10-19,17.129637,5.190959,16.507095,61.310001,10.913504,21.592781,5.681277,15.62709,8.450237,9.510324,9.366546,,6.166172,19.688751,0.342964,15.813888,0.325,3.547959,14.946809,3.243945
2016-10-20,17.103525,5.296318,16.748045,61.77,10.817702,21.804216,5.624085,15.257218,8.34379,9.698504,9.44037,,6.193457,19.748484,0.343002,15.921589,0.3202,3.586523,15.332122,3.233994
2016-10-21,17.190561,5.296318,16.589123,61.540001,10.7698,21.771175,5.535115,15.303451,8.351979,9.783547,9.818724,,6.14571,19.715902,0.346804,16.110064,0.327,3.817912,15.98233,3.30365
2016-10-24,17.147039,5.313402,16.430212,62.130001,10.793751,21.705103,5.61773,14.942827,8.532121,9.788974,9.772582,,6.111605,19.547581,0.366191,16.334436,0.3396,3.933606,16.295391,3.184241
2016-10-25,16.999077,5.239367,16.35331,61.869999,10.618113,21.672068,5.757537,14.637682,8.753201,9.729262,9.726442,,6.029751,19.444407,0.309447,16.154936,0.3296,4.030018,17.138256,3.273798
2016-10-26,17.00778,5.253605,16.286661,61.990002,10.538277,21.526709,5.859216,14.545217,8.654943,9.870399,9.791038,,6.043395,19.563864,0.259115,16.244686,0.3286,3.96253,17.475405,3.144438
2016-10-27,16.972961,5.267841,16.558363,62.110001,10.33869,21.605993,6.024443,14.517475,8.859649,9.843257,9.874091,,6.172992,19.981968,0.339236,16.235714,0.326,4.010735,17.660032,3.413108
2016-10-28,16.6248,5.210893,16.619886,62.290001,10.242885,21.493671,6.157895,14.406513,8.876025,10.040483,10.12325,,6.186635,20.150288,0.324323,16.235714,0.322,4.463872,17.772413,3.622074
2016-10-31,16.389786,5.353265,17.142782,62.900002,10.202969,21.407774,6.196025,14.702411,8.794143,10.302849,10.169394,,6.439012,20.850748,0.344716,15.876713,0.32,4.348177,17.724251,3.731532
