Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2017-11-23,0.027444,1683.810059,1.5487,8038.77002,0.001891,1.89173,18.225,410.165985,19.996099,0.164384,73.223396,25.7652,0.002105,,0.040535,158.606995,0.242402
2017-11-24,0.028382,1648.51001,1.71771,8253.69043,0.001908,1.88347,21.448799,474.911011,20.7983,0.192921,77.9683,28.546101,0.002025,,0.040193,160.026993,0.244642
2017-11-25,0.030447,1571.27002,1.87387,8790.919922,0.002072,2.05382,21.705601,466.276001,22.2985,0.180959,88.816902,28.3426,0.002048,,0.043639,168.442001,0.252393
2017-11-26,0.036332,1735.660034,1.85313,9330.549805,0.002026,2.45529,22.216,471.329987,22.643999,0.182888,85.926804,27.2115,0.002138,,0.048896,163.373993,0.248818
2017-11-27,0.050593,1622.569946,1.94298,9818.349609,0.001988,2.86162,25.7535,480.355011,22.204901,0.184168,91.602699,28.7768,0.002062,,0.059843,173.391998,0.253927
2017-11-28,0.119744,1546.180054,1.91711,10058.799805,0.002363,2.74903,33.9828,472.902008,21.6667,0.176424,96.033798,28.5578,0.002308,,0.081415,203.210007,0.299152
2017-11-29,0.089718,1359.709961,1.75153,9888.610352,0.00208,2.70804,25.4223,427.52301,18.1926,0.145255,85.570999,24.280701,0.002068,,0.064424,168.149994,0.243064
2017-11-30,0.119883,1389.780029,1.99697,10233.599609,0.002079,2.85232,28.188999,447.114014,19.0144,0.170461,88.330704,26.009899,0.002244,,0.072871,180.138,0.250878
2017-12-01,0.131352,1462.680054,2.07023,10975.599609,0.002148,3.23852,31.203699,466.540009,19.3641,0.177823,99.0037,26.666,0.002118,,0.089883,190.938004,0.255699
2017-12-02,0.132351,1434.97998,2.08416,11074.599609,0.002149,3.91512,30.7999,463.449005,19.7034,0.207898,100.283997,29.319201,0.002073,,0.093816,203.033997,0.255492
2017-12-03,0.131807,1559.930054,2.22725,11323.200195,0.002223,3.6067,30.4575,465.852997,19.922701,0.230629,101.263,35.460098,0.002116,,0.089035,200.050995,0.252558
2017-12-04,0.13587,1576.920044,2.49168,11657.200195,0.002463,4.0313,30.396799,470.20401,21.969299,0.229581,104.236,37.2206,0.002144,,0.09761,210.242004,0.253571
2017-12-05,0.127488,1501.849976,2.5953,11916.700195,0.002479,4.23641,30.386101,463.281006,20.9289,0.313877,102.397003,35.575298,0.002085,,0.123523,269.484009,0.246101
2017-12-06,0.117839,1430.099976,2.58769,14291.5,0.002663,4.55198,27.8636,428.588013,18.5644,0.29157,100.351997,30.893499,0.003055,,0.151622,278.684998,0.232544
2017-12-07,0.105501,1330.930054,2.77995,17899.699219,0.00272,3.99426,26.8216,434.40799,17.4536,0.260064,98.292397,27.722799,0.004275,,0.133046,280.855011,0.222823
